Target_Gene,Raw_CASX_Score,CASX_Score
AOC1,239.04615567880404,100.0
PSRC1,202.210338133625,84.59027248346297
TENM2,200.4350671569452,83.84761373874801
UGT2B17,182.7491733439224,76.44897777225081
PSORS1C3,172.67512919384006,72.2346481961003
AMN,169.12894373505054,70.75115318269305
DHRS2,165.26020822848926,69.13272405684177
AMZ1,164.91073449682543,68.98652681356023
MIP,149.81312061672165,62.67066004185245
CELSR2,133.3925161868756,55.8013394516302
HPR,130.67979052827556,54.666510200864295
MLIP,109.96117221262756,45.99917813006967
RAB29,102.97513856711268,43.07667275152858
TEKT4P2,94.4077823529687,39.49264411865934
LINC00910,92.61737147932878,38.74365181866227
NYNRIN,85.4631401265185,35.75078338016874
HNRNPAB,83.94661761744038,35.11636828651902
LINC01482,82.42502090707053,34.47983047469768
GTF2A1L,81.30288037770755,34.010399335520766
EFHD1,80.94035293719182,33.85874126335328
WNT11,79.37993694208647,33.20596396941845
LTBP3,78.33783162209886,32.77001439384986
ADARB2,78.21354284637697,32.71801999560176
CATSPER2P1,76.85739998751592,32.15069739164665
CYP21A2,70.81899169725813,29.62461727214489
MELTF,69.32269843748001,28.99866479016912
PDE8B,68.81833684950396,28.787672469149324
NPR2,66.48248864943656,27.810504411486843
ABO,65.92933506093998,27.579100668022416
L3MBTL3,64.09672714491569,26.81245585021848
SSBP3,61.98356095525474,25.92844356679636
GSAP,59.36866158924859,24.8345385200603
CLEC10A,59.0554334592918,24.703504096099746
LINC00907,58.870569804575446,24.626169079891778
MIRLET7IHG,57.8767689541035,24.210426975276
GSTA2,55.42215587736734,23.18357536204275
PMS2P11,55.19112680916471,23.086927717802585
IRX3,53.38861443975866,22.332872933388824
CCDC9B,52.10102866825665,21.794230187950077
Y_RNA,51.38750785807068,21.49573915408449
SPATA20,47.90743962299997,20.03990331779221
TMTC1,47.85145626825056,20.01648349709481
KDM5A,47.83132138248951,20.00806036103237
BNIPL,46.48944582492007,19.44670627467648
TTLL7,42.84723955715891,17.923042355004135
NALT1,41.78544122950044,17.478854496633303
ASAH2B,41.63276738835783,17.414985619879715
MYO5A,41.459223369917055,17.342386008563444
HP,40.86572315691308,17.094103842647595
P2RX3,40.45965173535546,16.9242297805128
